criterion	onset_thresh	frame_thresh	COn_f1	COnP_f1	COnPOff_f1	COn_plus_COnP	sum_all
best_COn	0.40	0.45	0.803631974	0.775924109	0.455659205	1.579556084	2.035215288
best_COnPOff	0.40	0.80	0.791815271	0.771962219	0.547399044	1.563777490	2.111176534
best_COn_plus_COnP_plus_COnPOff	0.40	0.75	0.796460543	0.774746168	0.538329311	1.571206711	2.109536022
